Location,Change in Nitrogen,Change in Phosporus,Change in Potasium,Temperature,Moisture,Nitrogen Cluster,Phosporus Cluster,Potasium Cluster,Combined Cluster
"Abdullahpur, Dhaka",7.529411764705882,11.647058823529411,3.6470588235294117,27.647058823529413,866.0588235294117,Moderate,High,Low,Moderate
"Ashulia,Savar,Dhaka",3.823529411764706,1.588235294117647,8.588235294117647,27.941176470588236,862.6470588235294,Low,Low,High,Low
"Azampur, Uttara",6.411764705882353,6.352941176470588,10.058823529411764,28.58823529411765,860.2352941176471,Moderate,Moderate,High,High
"Banani, Dhaka",1.8823529411764706,6.352941176470588,4.588235294117647,28.0,861.0588235294117,Low,Moderate,Low,Low
"Baridhara, Dhaka",6.0,1.588235294117647,3.235294117647059,27.529411764705884,861.5882352941177,Moderate,Low,Low,Low
"Boat Bazar, Gazipur",3.764705882352941,4.117647058823529,2.5294117647058822,29.176470588235293,861.7647058823529,Low,Low,Low,Low
"Chourasta, Gazipur",9.941176470588236,7.235294117647059,8.117647058823529,27.764705882352942,865.2941176470588,High,Moderate,High,High
"Dhanmondi, Dhaka",8.294117647058824,3.4705882352941178,8.705882352941176,28.352941176470587,864.8235294117648,High,Low,High,High
"Diyabari, Uttara",10.764705882352942,6.0,8.705882352941176,27.058823529411764,864.8823529411765,High,Moderate,High,High
"House Building, Uttara",9.058823529411764,5.176470588235294,3.588235294117647,28.705882352941178,860.1764705882352,High,Moderate,Low,Moderate
"Khilgaon, Dhaka",10.705882352941176,7.235294117647059,3.5294117647058822,28.235294117647058,865.2941176470588,High,Moderate,Low,Moderate
"Khilkhet, Dhaka",6.411764705882353,7.9411764705882355,5.470588235294118,28.0,870.7647058823529,Moderate,Moderate,Moderate,Moderate
"Konabari, Gazipur",10.058823529411764,6.823529411764706,5.647058823529412,26.941176470588236,862.6470588235294,High,Moderate,Moderate,Moderate
"Mirpur-12, Uttara",9.588235294117647,5.352941176470588,7.0588235294117645,32.8235294117647,862.7647058823529,High,Moderate,Moderate,High
"Mirpur-8, Dhaka",8.235294117647058,6.647058823529412,7.294117647058823,27.647058823529413,862.2352941176471,High,Moderate,Moderate,High
"Tongi, Gazipur",5.823529411764706,2.9411764705882355,6.529411764705882,29.764705882352942,860.7058823529412,Moderate,Low,Moderate,Low
